| infectadas: 15.0 | suseptibles a infectarse: 5.0 | Recuperados: 0.0

Persona	time	x	y
Persona 10	2.1999999999999997	10.0	78.0
Persona 11	2.1999999999999997	40.0	79.0
Persona 12	2.1999999999999997	75.0	87.0
Persona 13	2.1999999999999997	74.0	95.0
Persona 14	2.1999999999999997	56.0	41.0
Persona 15	2.1999999999999997	88.0	64.0
Persona 16	2.1999999999999997	88.0	46.0
Persona 17	2.1999999999999997	62.0	93.0
Persona 18	2.1999999999999997	95.0	9.0
Persona 19	2.1999999999999997	34.0	70.0
Persona 20	2.1999999999999997	2.0	38.0
Persona 1	2.4	44.0	6.0
Persona 2	2.4	13.0	4.0
Persona 3	2.4	95.0	80.0
Persona 4	2.4	49.0	74.0
Persona 5	2.4	10.0	28.0
Persona 6	2.4	18.0	98.0
Persona 7	2.4	19.0	37.0
Persona 8	2.4	43.0	37.0
Persona 9	2.4	78.0	49.0
Persona 10	2.4	11.0	79.0
Persona 11	2.4	40.0	78.0
Persona 12	2.4	76.0	87.0
Persona 13	2.4	73.0	95.0
Persona 14	2.4	57.0	40.0
Persona 15	2.4	87.0	64.0
Persona 16	2.4	87.0	46.0
Persona 17	2.4	61.0	93.0
Persona 18	2.4	96.0	9.0
Persona 19	2.4	33.0	69.0
Persona 20	2.4	3.0	38.0
Persona 1	2.6	43.0	6.0
Persona 2	2.6	14.0	4.0
Persona 3	2.6	96.0	79.0
Persona 4	2.6	48.0	73.0
Persona 5	2.6	11.0	28.0
Persona 6	2.6	17.0	97.0
Persona 7	2.6	20.0	36.0
Persona 8	2.6	44.0	36.0
Persona 9	2.6	77.0	49.0
Persona 10	2.6	11.0	80.0
Persona 11	2.6	41.0	77.0
Persona 12	2.6	77.0	87.0
Persona 13	2.6	72.0	95.0
Persona 14	2.6	58.0	39.0
Persona 15	2.6	86.0	64.0
Persona 16	2.6	86.0	46.0
Persona 17	2.6	60.0	93.0
Persona 18	2.6	97.0	9.0
Persona 19	2.6	32.0	68.0
Persona 20	2.6	4.0	38.0
Persona 1	2.8000000000000003	42.0	5.0
Persona 2	2.8000000000000003	15.0	5.0
Persona 3	2.8000000000000003	97.0	79.0
Persona 4	2.8000000000000003	48.0	72.0
Persona 5	2.8000000000000003	12.0	29.0
Persona 6	2.8000000000000003	17.0	96.0
Persona 7	2.8000000000000003	21.0	36.0
Persona 8	2.8000000000000003	45.0	35.0
Persona 9	2.8000000000000003	76.0	48.0
Persona 10	2.8000000000000003	11.0	81.0
Persona 11	2.8000000000000003	42.0	76.0
Persona 12	2.8000000000000003	78.0	88.0
Persona 13	2.8000000000000003	71.0	94.0
Persona 14	2.8000000000000003	59.0	39.0
Persona 15	2.8000000000000003	85.0	63.0
Persona 16	2.8000000000000003	85.0	45.0
Persona 17	2.8000000000000003	59.0	92.0
Persona 18	2.8000000000000003	98.0	10.0
Persona 19	2.8000000000000003	32.0	67.0
Persona 20	2.8000000000000003	5.0	39.0
Persona 1	3.0000000000000004	41.0	4.0
Persona 2	3.0000000000000004	16.0	6.0
Persona 3	3.0000000000000004	98.0	79.0
Persona 4	3.0000000000000004	49.0	71.0
Persona 5	3.0000000000000004	13.0	30.0
Persona 6	3.0000000000000004	18.0	95.0
Persona 7	3.0000000000000004	22.0	36.0
Persona 8	3.0000000000000004	46.0	35.0
Persona 9	3.0000000000000004	75.0	47.0
Persona 10	3.0000000000000004	10.0	82.0
Persona 11	3.0000000000000004	43.0	76.0
Persona 12	3.0000000000000004	79.0	89.0
Persona 13	3.0000000000000004	70.0	93.0
Persona 14	3.0000000000000004	60.0	39.0
Persona 15	3.0000000000000004	84.0	62.0
Persona 16	3.0000000000000004	84.0	44.0
Persona 17	3.0000000000000004	58.0	91.0
Persona 18	3.0000000000000004	99.0	11.0
Persona 19	3.0000000000000004	33.0	66.0
Persona 20	3.0000000000000004	6.0	40.0
Persona 1	3.2000000000000006	41.0	3.0
Persona 2	3.2000000000000006	16.0	7.0
Persona 3	3.2000000000000006	99.0	80.0
Persona 4	3.2000000000000006	50.0	70.0
Persona 5	3.2000000000000006	13.0	31.0
Persona 6	3.2000000000000006	19.0	94.0
Persona 7	3.2000000000000006	23.0	37.0
Persona 8	3.2000000000000006	47.0	35.0
Persona 9	3.2000000000000006	75.0	46.0
Persona 10	3.2000000000000006	9.0	83.0
Persona 11	3.2000000000000006	44.0	76.0
Persona 12	3.2000000000000006	79.0	90.0
Persona 13	3.2000000000000006	70.0	92.0
Persona 14	3.2000000000000006	61.0	40.0
Persona 15	3.2000000000000006	84.0	61.0
Persona 16	3.2000000000000006	84.0	43.0
Persona 17	3.2000000000000006	58.0	90.0
Persona 18	3.2000000000000006	99.0	12.0
Persona 19	3.2000000000000006	34.0	65.0
Persona 20	3.2000000000000006	6.0	41.0
Persona 1	3.400000000000001	41.0	2.0
Persona 2	3.400000000000001	16.0	8.0
Persona 3	3.400000000000001	100.0	81.0
Persona 4	3.400000000000001	51.0	69.0
