| infectadas: 15.0 | suseptibles a infectarse: 5.0 | Recuperados: 0.0

Persona	time	x	y
Persona 8	4.400000000000001	97.0	68.0
Persona 9	4.400000000000001	30.0	6.0
Persona 10	4.400000000000001	54.0	62.0
Persona 11	4.400000000000001	70.0	51.0
Persona 12	4.400000000000001	97.0	54.0
Persona 13	4.400000000000001	36.0	37.0
Persona 14	4.400000000000001	9.0	2.0
Persona 15	4.400000000000001	24.0	88.0
Persona 16	4.400000000000001	7.0	48.0
Persona 17	4.400000000000001	84.0	85.0
Persona 18	4.400000000000001	98.0	90.0
Persona 19	4.400000000000001	38.0	24.0
Persona 20	4.400000000000001	31.0	100.0
Persona 1	4.600000000000001	63.0	96.0
Persona 2	4.600000000000001	26.0	67.0
Persona 3	4.600000000000001	35.0	29.0
Persona 4	4.600000000000001	49.0	58.0
Persona 5	4.600000000000001	61.0	83.0
Persona 6	4.600000000000001	48.0	58.0
Persona 7	4.600000000000001	55.0	27.0
Persona 8	4.600000000000001	98.0	69.0
Persona 9	4.600000000000001	31.0	6.0
Persona 10	4.600000000000001	53.0	62.0
Persona 11	4.600000000000001	71.0	52.0
Persona 12	4.600000000000001	98.0	54.0
Persona 13	4.600000000000001	37.0	36.0
Persona 14	4.600000000000001	10.0	1.0
Persona 15	4.600000000000001	25.0	88.0
Persona 16	4.600000000000001	6.0	48.0
Persona 17	4.600000000000001	83.0	86.0
Persona 18	4.600000000000001	97.0	90.0
Persona 19	4.600000000000001	39.0	23.0
Persona 20	4.600000000000001	30.0	100.0
Persona 1	4.800000000000002	62.0	97.0
Persona 2	4.800000000000002	25.0	68.0
Persona 3	4.800000000000002	35.0	28.0
Persona 4	4.800000000000002	50.0	57.0
Persona 5	4.800000000000002	60.0	83.0
Persona 6	4.800000000000002	49.0	57.0
Persona 7	4.800000000000002	54.0	26.0
Persona 8	4.800000000000002	98.0	70.0
Persona 9	4.800000000000002	32.0	7.0
Persona 10	4.800000000000002	52.0	62.0
Persona 11	4.800000000000002	71.0	53.0
Persona 12	4.800000000000002	99.0	55.0
Persona 13	4.800000000000002	38.0	35.0
Persona 14	4.800000000000002	11.0	0.0
Persona 15	4.800000000000002	26.0	89.0
Persona 16	4.800000000000002	5.0	48.0
Persona 17	4.800000000000002	82.0	87.0
Persona 18	4.800000000000002	96.0	90.0
Persona 19	4.800000000000002	40.0	22.0
